sr,latitude,longitude,valid_time,t2m,temp,tp
269,18.4,73.5,26-09-24,296.8918,23.7418,0.003138806
270,18.4,73.5,27-09-24,297.21548,24.06548,0.00089407
271,18.4,73.5,28-09-24,297.36716,24.21716,0.000253435
272,18.4,73.5,29-09-24,298.45627,25.30627,0.000111357
273,18.4,73.5,30-09-24,299.26376,26.11376,5.41E-06
274,18.4,73.5,01-10-24,296.74844,23.59844,0
275,18.4,73.5,02-10-24,,-273.15,
276,18.4,73.5,03-10-24,,-273.15,
277,18.4,73.5,04-10-24,,-273.15,
278,18.4,73.5,05-10-24,,-273.15,
279,18.4,73.5,06-10-24,,-273.15,
280,18.4,73.5,07-10-24,,-273.15,
281,18.4,73.5,08-10-24,,-273.15,
282,18.4,73.5,09-10-24,,-273.15,
283,18.4,73.5,10-10-24,,-273.15,
284,18.4,73.5,11-10-24,,-273.15,
285,18.4,73.5,12-10-24,,-273.15,
286,18.4,73.5,13-10-24,,-273.15,
287,18.4,73.5,14-10-24,,-273.15,
288,18.4,73.5,15-10-24,,-273.15,
289,18.4,73.5,16-10-24,,-273.15,
290,18.4,73.5,17-10-24,,-273.15,
291,18.4,73.5,18-10-24,,-273.15,
292,18.4,73.5,19-10-24,,-273.15,
293,18.4,73.5,20-10-24,,-273.15,
294,18.4,73.5,21-10-24,,-273.15,
295,18.4,73.5,22-10-24,,-273.15,
296,18.4,73.5,23-10-24,,-273.15,
297,18.4,73.5,24-10-24,,-273.15,
298,18.4,73.5,25-10-24,,-273.15,
299,18.4,73.5,26-10-24,,-273.15,
300,18.4,73.5,27-10-24,,-273.15,
301,18.4,73.5,28-10-24,,-273.15,
302,18.4,73.5,29-10-24,,-273.15,
303,18.4,73.5,30-10-24,,-273.15,
304,18.4,73.5,31-10-24,,-273.15,
305,18.4,73.5,01-11-24,300.78683,27.63683,1.12E-05
306,18.4,73.5,02-11-24,299.8386,26.6886,5.80E-07
307,18.4,73.5,03-11-24,298.5697,25.4197,0
308,18.4,73.5,04-11-24,298.45078,25.30078,0
309,18.4,73.5,05-11-24,297.98578,24.83578,0
310,18.4,73.5,06-11-24,297.8702,24.7202,0
311,18.4,73.5,07-11-24,297.48547,24.33547,0
312,18.4,73.5,08-11-24,297.55002,24.40002,0
313,18.4,73.5,09-11-24,297.19635,24.04635,0
314,18.4,73.5,10-11-24,296.73645,23.58645,0
315,18.4,73.5,11-11-24,296.7122,23.5622,0
316,18.4,73.5,12-11-24,296.69308,23.54308,0
317,18.4,73.5,13-11-24,297.08096,23.93096,0
318,18.4,73.5,14-11-24,298.4189,25.2689,3.52E-06
319,18.4,73.5,15-11-24,298.92673,25.77673,9.40E-06
320,18.4,73.5,16-11-24,299.25888,26.10888,8.46E-06
321,18.4,73.5,17-11-24,299.41418,26.26418,7.15E-08
322,18.4,73.5,18-11-24,297.34283,24.19283,0
323,18.4,73.5,19-11-24,295.69876,22.54876,0
324,18.4,73.5,20-11-24,295.44547,22.29547,0
325,18.4,73.5,21-11-24,295.412,22.262,0
326,18.4,73.5,22-11-24,295.26413,22.11413,0
327,18.4,73.5,23-11-24,295.20596,22.05596,0
328,18.4,73.5,24-11-24,295.22424,22.07424,0
329,18.4,73.5,25-11-24,294.8735,21.7235,0
330,18.4,73.5,26-11-24,294.38132,21.23132,0
331,18.4,73.5,27-11-24,294.1771,21.0271,0
