latitude,longitude,valid_time,t2m,number
18.4,73.75,2024-03-07,297.4581,0
18.4,73.75,2024-03-08,297.8965,0
18.4,73.75,2024-03-09,298.03104,0
18.4,73.75,2024-03-10,298.29,0
18.4,73.75,2024-03-11,298.89786,0
18.4,73.75,2024-03-12,299.29282,0
18.4,73.75,2024-03-13,298.65747,0
18.4,73.75,2024-03-14,298.56522,0
18.4,73.75,2024-03-15,297.8557,0
18.4,73.75,2024-03-16,298.48578,0
18.4,73.75,2024-03-17,299.00424,0
18.4,73.75,2024-03-18,298.60202,0
18.4,73.75,2024-03-19,298.6379,0
18.4,73.75,2024-03-20,298.63718,0
18.4,73.75,2024-03-21,298.99054,0
18.4,73.75,2024-03-22,300.1304,0
18.4,73.75,2024-03-23,300.2079,0
18.4,73.75,2024-03-24,300.26846,0
18.4,73.75,2024-03-25,300.67538,0
18.4,73.75,2024-03-26,301.1578,0
18.4,73.75,2024-03-27,301.57394,0
18.4,73.75,2024-03-28,301.75256,0
18.4,73.75,2024-03-29,301.62384,0
18.4,73.75,2024-03-30,301.77567,0
18.4,73.75,2024-03-31,302.1514,0
18.4,73.75,2024-04-01,297.49222,0
18.4,73.75,2024-04-02,,0
18.4,73.75,2024-04-03,,0
18.4,73.75,2024-04-04,,0
18.4,73.75,2024-04-05,,0
18.4,73.75,2024-04-06,,0
18.4,73.75,2024-04-07,,0
18.4,73.75,2024-04-08,,0
18.4,73.75,2024-04-09,,0
18.4,73.75,2024-04-10,,0
18.4,73.75,2024-04-11,,0
18.4,73.75,2024-04-12,,0
18.4,73.75,2024-04-13,,0
18.4,73.75,2024-04-14,,0
18.4,73.75,2024-04-15,,0
18.4,73.75,2024-04-16,,0
18.4,73.75,2024-04-17,,0
18.4,73.75,2024-04-18,,0
18.4,73.75,2024-04-19,,0
18.4,73.75,2024-04-20,,0
18.4,73.75,2024-04-21,,0
18.4,73.75,2024-04-22,,0
18.4,73.75,2024-04-23,,0
18.4,73.75,2024-04-24,,0
18.4,73.75,2024-04-25,,0
18.4,73.75,2024-04-26,,0
18.4,73.75,2024-04-27,,0
18.4,73.75,2024-04-28,,0
18.4,73.75,2024-04-29,,0
18.4,73.75,2024-04-30,,0
18.4,73.75,2024-05-01,303.4237,0
18.4,73.75,2024-05-02,301.3925,0
18.4,73.75,2024-05-03,301.45883,0
18.4,73.75,2024-05-04,302.03555,0
18.4,73.75,2024-05-05,302.52975,0
18.4,73.75,2024-05-06,301.9072,0
18.4,73.75,2024-05-07,301.0427,0
18.4,73.75,2024-05-08,301.0923,0
18.4,73.75,2024-05-09,300.99008,0
18.4,73.75,2024-05-10,300.12,0
18.4,73.75,2024-05-11,301.14798,0
18.4,73.75,2024-05-12,300.29306,0
18.4,73.75,2024-05-13,300.87872,0
18.4,73.75,2024-05-14,300.66714,0
18.4,73.75,2024-05-15,301.60147,0
18.4,73.75,2024-05-16,301.46323,0
18.4,73.75,2024-05-17,301.21768,0
18.4,73.75,2024-05-18,301.7804,0
18.4,73.75,2024-05-19,301.4997,0
18.4,73.75,2024-05-20,301.75717,0
18.4,73.75,2024-05-21,302.8259,0
18.4,73.75,2024-05-22,301.88647,0
18.4,73.75,2024-05-23,302.3635,0
18.4,73.75,2024-05-24,301.49466,0
18.4,73.75,2024-05-25,300.30908,0
18.4,73.75,2024-05-26,300.30704,0
18.4,73.75,2024-05-27,299.09528,0
18.4,73.75,2024-05-28,300.58023,0
18.4,73.75,2024-05-29,300.2903,0
18.4,73.75,2024-05-30,300.61224,0
18.4,73.75,2024-05-31,301.61902,0
18.4,73.75,2024-06-01,297.84122,0
18.4,73.75,2024-06-02,,0
18.4,73.75,2024-06-03,,0
18.4,73.75,2024-06-04,,0
18.4,73.75,2024-06-05,,0
18.4,73.75,2024-06-06,,0
18.4,73.75,2024-06-07,,0
18.4,73.75,2024-06-08,,0
18.4,73.75,2024-06-09,,0
18.4,73.75,2024-06-10,,0
18.4,73.75,2024-06-11,,0
18.4,73.75,2024-06-12,,0
18.4,73.75,2024-06-13,,0
18.4,73.75,2024-06-14,,0
18.4,73.75,2024-06-15,,0
18.4,73.75,2024-06-16,,0
18.4,73.75,2024-06-17,,0
18.4,73.75,2024-06-18,,0
18.4,73.75,2024-06-19,,0
18.4,73.75,2024-06-20,,0
18.4,73.75,2024-06-21,,0
18.4,73.75,2024-06-22,,0
18.4,73.75,2024-06-23,,0
18.4,73.75,2024-06-24,,0
18.4,73.75,2024-06-25,,0
18.4,73.75,2024-06-26,,0
18.4,73.75,2024-06-27,,0
18.4,73.75,2024-06-28,,0
18.4,73.75,2024-06-29,,0
18.4,73.75,2024-06-30,,0
18.4,73.75,2024-07-01,298.35086,0
18.4,73.75,2024-07-02,297.59515,0
18.4,73.75,2024-07-03,298.5556,0
18.4,73.75,2024-07-04,298.41235,0
18.4,73.75,2024-07-05,298.0101,0
18.4,73.75,2024-07-06,297.77975,0
18.4,73.75,2024-07-07,297.62045,0
18.4,73.75,2024-07-08,296.81406,0
18.4,73.75,2024-07-09,296.42468,0
18.4,73.75,2024-07-10,297.3819,0
18.4,73.75,2024-07-11,297.092,0
18.4,73.75,2024-07-12,296.60373,0
18.4,73.75,2024-07-13,296.3115,0
18.4,73.75,2024-07-14,296.47513,0
18.4,73.75,2024-07-15,297.17255,0
18.4,73.75,2024-07-16,297.00586,0
18.4,73.75,2024-07-17,297.0909,0
18.4,73.75,2024-07-18,296.67496,0
18.4,73.75,2024-07-19,296.71085,0
